hs4,share_2023_2025,usd_acumulado_2023_2025,usd_promedio_anual,n_ncm,descripcion_top_ncm,ncms_listados
4006,2.1830163556444924e-05,643111.450022049,214370.48334068301,1,Formas y artículos de caucho s/vulcanizar ncop.,40069000
8438,2.182986144946852e-05,643102.5500220489,214367.51667401628,8,Máquinas y aparatos p/la preparación de carne,"84385000,84381000,84384000,84389000,84382019"
6117,2.1090097866922868e-05,621309.2900213017,207103.09667376723,3,"Accesorios de vestir,de punto, no expresados ni comprendidos en otra parte","61178090,61179000,61171000"
2921,2.0511026682358418e-05,604249.9900207167,201416.66334023888,2,Diaminotoluenos(toluilendiaminas),"29215112,29212200"
4106,2.0404440964959666e-05,601110.0000206091,200370.00000686973,3,"Cueros y pieles de reptil ,secos","41064000,41069100,41069200"
7307,2.0394368922033878e-05,600813.2800205991,200271.0933401997,11,"Accesorios de tuberías excluidos moldeados,de fundición,hierro o acero,ncop.","73079900,73079100,73079200,73071920,73072900"
8430,1.9748787019660154e-05,581794.5900199469,193931.530006649,3,"Equipamientos frontales p/palas excavadoras cargadoras o cargadoras,s/propulsión,ncop.","84306990,84304910,84306100"
8201,1.8883095405412783e-05,556291.5200190725,185430.50667302415,4,"Azadas,picos,binaderas,rastrillos y raederas,de metal común","82013000,82019000,82014000,82011000"
1509,1.8817631878639713e-05,554362.9800190065,184787.66000633547,3,Aceite de oliva virgen extra,"15092000,15091000,15093000"
7616,1.8579972467005132e-05,547361.5900187662,182453.86333958877,2,"Otras manufacturas de aluminio,ncop.","76169900,76161000"
9027,1.8574387900740136e-05,547197.0700187607,182399.0233395869,6,"Instrumentos y aparatos para ensayos de viscosidad, porosidad, dilatación, tensión superficial o similares o para medidas calorimétricas, acústicas o fotométricas  n.c.o.p.","90278999,90278099,90278914,90278014,90271000"
8482,1.8249019026595608e-05,537611.7800184322,179203.9266728107,13,Rodamientos de bolas radiales,"84821010,84821090,84822010,84822090,84829990"
8537,1.7552920085522024e-05,517104.87001772906,172368.2900059097,2,"Cuadros,paneles,consolas,armarios y otros soportes,equipados c/aparatos de las partidas 8535 u 8536,p/control o distribución de electricidad,p/una tensión <= a 1000 voltios,ncop.","85371090,85371020"
1204,1.7466159374696398e-05,514548.92001764127,171516.3066725471,1,Semilla de lino excluida p/siembra,12040090
8466,1.6094661930461868e-05,474144.9300162561,158048.3100054187,8,"Partes y accesorios de máquinas p/trabajar madera,corcho,hueso,caucho,materias plásticas o similares","84669200,84669330,84662010,84669410,84662090"
9405,1.5957528784949817e-05,470105.02001611766,156701.6733387059,13,"Otras lámparas y demás luminarias, eléctricas,  diseñadas para ser utilizadas únicamente con fuentes luminosas de diodos emisores de luz (LED)","94051190,94051099,94051093,94056100,94051990"
9404,1.5787795581115093e-05,465104.72001594614,155034.90667198203,5,"Colchones de caucho o plástico celulares,recubiertos o no","94042100,94041000,94049000,94044000,94042900"
8205,1.5652216759024353e-05,461110.6000158092,153703.53333860307,4,"Tornillos de banco,prensas de carpintero y similares,de metal común","82057000,82055900,82055100,82054000"
6305,1.5610595582718544e-05,459884.4500157672,153294.8166719224,4,"Continentes intermedios flexibles p/productos a granel,de materias textiles sintéticas o artificiales","63053200,63053390,63053900,63059000"
7226,1.5523418371600734e-05,457316.2300156792,152438.74333855973,2,"Productos laminados planos de acero magnético al silicio de grano orientado,ancho < a 600mm.","72261100,72269100"
8459,1.5167362896466131e-05,446826.9200153195,148942.30667177317,2,"Máquinas de roscar metal,incluso aterrajar","84597000,84592900"
6907,1.5046067963776757e-05,443253.60001519707,147751.20000506568,2,"Placas y baldosas de cerámica, para pavimentación o revestimiento, excepto las de las subpartidas 6907.30 y 6907.40, con un coeficiente de absorción de agua > al 10%, en peso","69072300,69072100"
8443,1.4986212764491548e-05,441490.28001513664,147163.42667171222,6,Partes y accesorios ncop.de máquinas y aparatos p/imprimir,"84439199,84431600,84433299,84439942,84439990"
6809,1.4734276931268505e-05,434068.31001488207,144689.43667162734,3,"Placas,paneles,artículos similares s/adornos excluidos revestidos o reforzados c/papel o cartón","68091900,68099000,68091100"
3924,1.4504958727197141e-05,427312.6500146505,142437.5500048835,2,"Vajilla y otros artículos p/servicio de mesa o cocina,de plástico","39241000,39249000"
4421,1.340064639012735e-05,394779.870013535,131593.29000451168,2,Ataúdes de madera,"44212000,44219900"
8414,1.3305585205263433e-05,391979.3900134391,130659.79667114637,13,Ventiladores ncop.,"84145990,84149020,84143091,84149039,84148019"
4822,1.2194360389016614e-05,359242.9700123167,119747.65667077224,1,"Carretes,bobinas,canillas y soportes similares de papel o cartón,ncop.",48229000
2520,1.1367029571852144e-05,334870.000011481,111623.33333716034,1,Yeso natural excluido en trozos irregulares,25201019
1106,1.1243049281533158e-05,331217.57001135586,110405.85667045195,1,Harina y sémola de legumbres secas desvainadas,11061000
2836,1.0779481061862084e-05,317560.96001088765,105853.65333696254,2,Hidrogenocarbonato(bicarbonato)de sodio,"28363000,28365000"
2501,1.0598204316514243e-05,312220.59001070453,104073.53000356819,2,Sal de mesa,"25010020,25010090"
3904,1.0351238991668203e-05,304945.0500104551,101648.35000348503,1,"Policloruros de vinilo ncop.,s/plastificar",39042100
9603,1.0317782510984329e-05,303959.43001042126,101319.81000347376,3,Artículos de cepillería ncop.,"96039000,96035000,96034010"
9406,1.015647300010076e-05,299207.2900102584,99735.7633367528,2,Construcciones prefabricadas con estructura de hierro o acero y paredes exteriores constituidas esencialmente por estas materias,"94069020,94061090"
4202,1.0131029822104576e-05,298457.74001023266,99485.91333674423,9,"Artículos de plástico o materias textiles excluidos baúles,bolsos de mano,artículos de bolsillo o similares","42029200,42029100,42023100,42022900,42029900"
8507,9.877492482460536e-06,290988.5900099766,96996.19666999219,7, Acumuladores eléctricos de ión de litio,"85076000,85071090,85079090,85072010,85071010"
7308,9.695979482668222e-06,285641.2600097933,95213.75333659774,4,"Torres y castilletes,de fundición,hierro o acero","73082000,73089090,73089010,73083000"
3003,9.529657372098577e-06,280741.45000962523,93580.48333654174,1,"Medicamentos ncop.,s/acondicionar p/la venta por menor",30039099
3105,9.237383468604357e-06,272131.13000933005,90710.37666977668,4,"Abonos minerales o químicos c/nitrógeno, fósforo y potasio","31052000,31059090,31051000,31055900"
2518,8.80860812868021e-06,259499.51000889696,86499.83666963232,3,"Dolomita s/calcinar ni sinterizar,llamada ""cruda""","25181000,25182000,25183000"
9402,8.786684327236149e-06,258853.64000887482,86284.54666962494,3,"Mobiliario p/medicina,cirugía,odontología o veterinaria,ncop.,sus partes","94029090,94021000,94029020"
8467,8.697817353726701e-06,256235.64000878506,85411.88000292836,6,"Grapadoras,clavadoras y otras herramientas neumáticas de uso manual excluidas rotativas","84671900,84679200,84671190,84679900,84678100"
8802,8.350372606311787e-06,246000.00000843414,82000.00000281139,1,"Vehículos espaciales(incluidos satélites),sus vehículos de lanzamiento y vehículos suborbitales",88026000
8425,8.316921556764567e-06,245014.54000840036,81671.51333613346,8,"Elevadores fijos p/vehículos,utilizados en talleres","84254100,84253910,84253110,84251100,84251910"
8442,8.169129805568035e-06,240660.63000825112,80220.21000275038,1,"Caracteres de imprenta,clisés,planchas cilindros y otros elementos impresores,planchas,placas y similares",84425000
2530,7.869034046953193e-06,231819.88000794797,77273.29333598266,2,Espodumeno,"25309010,25309090"
8705,7.785158966921325e-06,229348.9400078633,76449.64666928777,1,"Camiones o coches p/usos especiales,ncop.",87059090
7306,7.62068615838254e-06,224503.61000769713,74834.53666923239,7,"Tubos y perfiles huecos ncop.,de hierro o acero","73069090,73063000,73065000,73069010,73069020"
8714,7.525140584018247e-06,221688.86000760063,73896.28666920021,1,Partes y accesorios de motocicletas (incluidos los ciclomotores),87141000
0904,7.455940095780827e-06,219650.23000753074,73216.74333584358,1,"Frutos de los géneros Capsicum o Pimenta,secos,s/triturados o pulverizados",09042200
8706,6.970687384124535e-06,205354.8000070406,68451.60000234687,1,"Chasis c/motor incorporado,de vehículos automóviles p/transporte de 10 o más personas",87060010
3001,6.900450567124224e-06,203285.64000696962,67761.8800023232,1,"Sustancias humanas o animales preparadas p/usos terapéuticos o profilácticos,ncop.",30019090
9503,6.8338498961141125e-06,201323.60000690242,67107.86666896747,3,"Juguetes que representen animales o seres no humanos,excluido rellenos","95030039,95030099,95030070"
4008,6.6622249594934195e-06,196267.57000672907,65422.523335576356,3,"Varillas y perfiles de caucho no celular,vulcanizado,s/endurecer","40082900,40082100,40081100"
4818,6.32434885652563e-06,186313.82000638777,62104.606668795925,1,Manteles y servilletas de papel,48183000
9604,6.290266097896283e-06,185309.75000635337,61769.916668784455,1,"Tamices,cedazos y cribas,de mano",96040000
2701,6.174956617246222e-06,181912.76000623693,60637.586668745644,1," Hulla bituminosa, sin aglomerar",27011200
8415,6.160769469966515e-06,181494.8100062226,60498.2700020742,3," Partes de máquinas y aparatos para acondicionamiento de aire, n.c.o.p.","84159090,84158290,84152010"
7217,5.971205488975968e-06,175910.3000060311,58636.76666867703,3,"Alambre de hierro,acero s/alear,cincado,ncop.","72172090,72171090,72179000"
6802,5.86652949500336e-06,172826.57000592537,57608.85666864179,2,Granito excluido plano o liso,"68029390,68029200"
3403,5.83103871419633e-06,171781.02000588953,57260.34000196317,1,"Preparaciones lubricantes ncop.,que no contengan aceites de petróleo ni minerales bituminosos",34039900
8903,5.768462515447209e-06,169937.54000582633,56645.84666860878,2,"Yates y demás barcos y embarcaciones de recreo o deporte; botes de remo y canoas; de longitud inferior o igual a 7,5 m n.c.o.p.","89039300,89039900"
4107,5.561499209291853e-06,163840.45000561728,54613.48333520576,2,"Cueros y pieles de bovino excluido enteros,preparados después del curtido o secado,o apergaminados,depilados,divididos c/la flor","41079210,41079990"
3214,5.536866967887396e-06,163114.7900055924,54371.5966685308,3,Plastes(enduidos)no refractarios utilizados en albañilería,"32149000,32141020,32141010"
3209,5.456519411112631e-06,160747.7700055112,53582.59000183707,1,"Pinturas a base de polímeros acrílicos o vinílicos,disueltas en medio acuoso",32091010
3005,5.343811784366122e-06,157427.4300053974,52475.81000179913,2,Apósitos reabsorbibles ncop.,"30059019,30059090"
4821,5.321376777184458e-06,156766.50000537475,52255.50000179157,2,"Etiquetas de todas clases,s/imprimir,de papel o  cartón","48219000,48211000"
8480,5.156968463393447e-06,151923.0700052087,50641.02333506957,5,"Moldes p/metales o carburos metálicos excluidas las lingoteras,p/el moldeo por inyección o compresión","84804100,84807990,84806000,84807100,84804990"
2909,5.041928163453825e-06,148534.0100050925,49511.33666836417,1,Éter dietílico(óxido de dietilo),29091100
7008,4.966286007698113e-06,146305.6100050161,48768.5366683387,1,Vidrieras aislantes de paredes múltiples,70080000
2904,4.646812632392055e-06,136894.00000469343,45631.33333489781,1,Ácido dodecilbencenosulfónico y sus sales,29041020
3302,4.178112328028512e-06,123086.20000422002,41028.73333474001,3,Mezclas de sustancias odoríficas utilizadas como materias básicas en las industrias alimentarias o de bebidas,"33021000,33029099,33029019"
0204,4.022460703754778e-06,118500.74000406281,39500.24666802094,1,Carne de animales de la especie caprina,02045000
8511,3.908299229615064e-06,115137.57000394749,38379.19000131583,7,"Dispositivos electrónicos de encendido,numéricos(digitales)utilizados en motores","85118030,85111000,85115010,85114000,85113020"
3301,3.7267780831177688e-06,109790.00000376417,36596.66666792139,2,Subproductos terpénicos de aceites esenciales,"33019020,33012990"
8526,3.586153735074987e-06,105647.24000362214,35215.746667874046,3,Aparatos de radionavegación,"85269100,85269200,85261000"
2715,3.517255014367933e-06,103617.50000355254,34539.16666785085,1,"Mezclas bituminosas a base de asfalto,betún natural o de petróleo,alquitrán o brea",27150000
2103,3.4784607446907966e-06,102474.63000351336,34158.210001171115,6,"Preparaciones p/salsas y salsas preparadas ncop.,en envases <= a 1kg.","21039091,21039021,21039099,21032010,21031010"
5704,3.4766151765663854e-06,102420.26000351149,34140.08666783716,1,"Alfombras y revestimientos p/suelos de fieltro,no expresado ni comprendido en otra parte",57049000
5603,3.4692359590831086e-06,102202.87000350404,34067.623334501346,3,"Telas s/tejer de peso > a 25 g/m2 y <= a 70 g/m2, de polipropileno","56031240,56031290,56039320"
8609,3.4387934197964477e-06,101306.04000347329,33768.680001157765,1,"Contenedores,especialmente concebidos y equipados p/varios medios de transporte",86090000
8530,3.346775029243219e-06,98595.20000338035,32865.06666779345,1,"Aparatos eléctricos de señalización,seguridad,control o mando,digitales,p/control de tráfico de automotores",85308010
2517,3.2639094617370065e-06,96154.00000329665,32051.33333443222,3,"Gránulos,tasquiles y polvo de mármol","25174100,25173000,25171000"
4418,3.2077365731035547e-06,94499.16000323991,31499.720001079968,3,"Puertas y sus marcos, contramarcos y umbrales, de maderas no tropicales","44182900,44182000,44187900"
3102,3.1732841577356598e-06,93484.20000320511,31161.400001068374,2,Abonos minerales o químicos nitrogenados ncop.,"31029000,31022100"
4203,3.16109465040669e-06,93125.10000319281,31041.70000106427,2,"Cintos,cinturones y bandoleras de cuero","42033000,42032900"
1506,3.084187379256518e-06,90859.43000311514,30286.476667705047,1,Grasas y aceites animales incluso refinados ncop.,15060000
3006,3.0550462760906936e-06,90000.94000308568,30000.313334361894,5,"Catguts,adhesivos,laminarias y hemostáticos reabsorbibles,estériles,p/cirugía u odontología","30061090,30063029,30069110,30064012,30067000"
7304,3.0456941982176653e-06,89725.43000307624,29908.476667692077,10,"Tubos s/costura ncop.de hierro o acero s/alear,sección circular,s/revestir,diámetro <= a 229mm.","73043910,73043110,73043190,73045119,73049011"
6109,3.008703744801909e-06,88635.70000303889,29545.233334346296,2,"T-shirts y camisetas interiores de punto,de materia textil excluido algodón","61099000,61091000"
6114,3.0071962649342415e-06,88591.29000303739,29530.43000101246,2,"Prendas de vestir no expresada ni comprendida en otra parte de punto,de fibras sintéticas o artificiales","61143000,61142000"
2403,2.862222594769318e-06,84320.40000289092,28106.80000096364,1,Tabaco p/fumar incluso c/sucedáneos del tabaco ncop.,24031900
7321,2.8298574331069602e-06,83366.93000285824,27788.976667619412,4,"Estufas,parrillas y artículos similares de fundición,hierro o acero,de combustibles ncop.","73218900,73211900,73219000,73211100"
4114,2.7994546090070855e-06,82471.27000282753,27490.42333427584,1,Cueros y pieles agamuzados,41141000
3916,2.793620549902018e-06,82299.40000282165,27433.133334273884,3,Monofilamentos de otros plásticos ncop.,"39169010,39169090,39162000"
9705,2.7492074299097473e-06,80991.00000277678,26997.000000925593,3,"Colecciones y piezas de colección que tengan un interés arqueológico, etnográfico o histórico","97051000,97050000,97052200"
4011,2.726608809736365e-06,80325.25000275395,26775.083334251318,3," Neumáticos nuevos de caucho, de los tipos utilizados en automóviles de turismo","40111000,40117090,40119090"
0101,2.6816237231651677e-06,79000.00000270853,26333.333334236177,2,"Caballos,reproductores de raza pura","01012100,01012900"
6104,2.6230787855978582e-06,77275.2800026494,25758.4266675498,13,"Pantalones largos,cortos,c/peto y shorts de punto, de fibras sintéticas,p/mujeres o niñas","61046300,61046200,61045300,61043900,61043300"
0102,2.5826073130326e-06,76083.0000026085,25361.0000008695,2,"Reproductores bovinos domésticos,de raza pura excluidos preñadas o c/cría al pie","01022190,01022110"
3505,2.5704551447681303e-06,75725.00000259624,25241.666667532078,1,Dextrina y otros almidones y féculas modificados,35051000
3208,2.5604136519860198e-06,75429.1800025861,25143.06000086203,3,"Pinturas a base de poliésteres,disueltas en un medio no acuoso","32081010,32081020,32089010"
3907,2.544188470676707e-06,74951.19000256971,24983.730000856573,5,"Resinas alcídicas en líquido,pastas,dispersiones o disoluciones","39075010,39074090,39079999,39079100,39079911"
2941,2.5289476828860244e-06,74502.20000255431,24834.066667518102,2,"Polienos y sus sales,ncop.","29419069,29411020"
6303,2.4670103215858905e-06,72677.54000249175,24225.846667497248,2,"Visillos,cortinas,guardamalletas y rodapiés de cama,de fibras sintético excluidos de punto","63039200,63039900"
7324,2.4129026226653175e-06,71083.5400024371,23694.513334145704,2,"Artículos de higiene o tocador ncop.,partes,de fundición,hierro o acero","73249000,73241000"
4901,2.1779686232931856e-06,64162.44000219982,21387.480000733274,2,"Libros,folletos e impresos similares,excluidos diccionarios,enciclopedias y en hojas sueltas","49019900,49011000"
3801,2.175084010837558e-06,64077.46000219691,21359.153334065635,2,Grafito artificial,"38011000,38012090"
2806,2.143187624157692e-06,63137.80000216468,21045.933334054895,1,Cloruro de hidrógeno(ácido clorhídrico)en disolución acuosa,28061020
0714,2.1250985446377595e-06,62604.90000214642,20868.300000715473,1,Batatas,07142000
8471,2.0025663311292793e-06,58995.130002022655,19665.043334007554,4,"Máquinas automáticas p/tratamiento o procesamiento de datos y sus unidades,ncop.","84719090,84715010,84716059,84714110"
3918,1.9648980039698312e-06,57885.43000198461,19295.14333399487,2,"Revestimientos p/suelos,paredes o techos de plásticos excluidos polímeros de cloruro de vinilo","39189000,39181000"
7507,1.9215938541932047e-06,56609.70000194087,18869.900000646958,2, Tubos de aleaciones de níquel,"75071200,75072000"
8516,1.8847065923738839e-06,55523.01000190362,18507.670000634538,3,Resistencias calentadoras excluidas las de la partida 8545 y p/aparatos electrotérmicos de la partida 8516,"85168090,85162900,85166000"
4804,1.8747998596700133e-06,55231.16000189361,18410.38666729787,3,"Papel y cartón Kraft crudo,p/cubiertas","48041100,48043190,48042900"
2714,1.8352489647676954e-06,54066.00000185366,18022.000000617885,1,"Betunes y asfaltos naturales,asfaltitas y rocas asfálticas",27149000
3815,1.793290039651183e-06,52829.90000181128,17609.966667270426,1,"Catalizadores en colmena cerámica o metálica,c/metales preciosos o sus compuestos como sustancia activa p/conversión catalítica de gases de escape de vehículos",38151210
8429,1.7719083335344524e-06,52200.00000178969,17400.000000596563,1,"Cargadoras y palas cargadoras de carga frontal,ncop.",84295199
5406,1.7155742080315704e-06,50540.41000173279,16846.803333910928,1,Hilados de filamentos sintéticos acondicionados p/la venta por menor,54060010
7009,1.688695852174433e-06,49748.580001705646,16582.860000568548,1,Espejos retrovisores p/vehículos,70091000
7317,1.673144131810279e-06,49290.43000168992,16430.14333389664,1,"Puntas,clavos,chinches,grapas apuntadas,onduladas,biseladas,artículos similares de fundición,hierro o acero",73170090
2506,1.669331134432771e-06,49178.10000168608,16392.700000562025,1,Cuarzo,25061000
2208,1.6626800287072394e-06,48982.16000167935,16327.386667226452,2,Bebidas espirituosas ncop.,"22089000,22085000"
0510,1.6476235601167697e-06,48538.600001664156,16179.533333888052,1,"Ámbar gris,castóreo,algalia y almizcle,cantáridas,bilis y sustancias animales ncop.,p/uso farmacéutico",05100090
9508,1.580048000077171e-06,46547.840001595905,15515.946667198634,3,,"95089090,95084000,95082900"
2842,1.5659596315953673e-06,46132.800001581665,15377.600000527222,2,Silicatos dobles o complejos ncop.,"28421090,28421010"
2925,1.5287281714905668e-06,45035.97000154407,15011.99000051469,2,Derivados y sales de guanidina ncop.,"29252929,29252919"
4410,1.474637444872039e-06,43442.47000148943,14480.82333382981,3,"Tableros de madera llamados ""oriented strand board"" excluido en bruto o simplemente lijados","44101290,44101999,44101992"
4911,1.4459294748544127e-06,42596.740001460435,14198.913333820145,4,"Otros impresos,ncop.","49119900,49111090,49111010,49119100"
6112,1.439108646108428e-06,42395.80000145355,14131.93333381785,2,"Bañadores de punto,de fibras sintéticas,p/mujeres o niñas","61124100,61123100"
5911,1.4109729821157705e-06,41566.93000142512,13855.643333808373,1,"Productos y artículos textiles p/usos técnicos citados en la nota 7 del capítulo 59, ncop.",59119000
5910,1.4092261927892633e-06,41515.47000142336,13838.490000474454,1,"Correas transportadoras o transmisión,de materia textil",59100000
0401,1.408351100895805e-06,41489.69000142248,13829.896667140827,1,"Leche UHT,c/contenido de materias grasas > al 1%,<= al 6%",04012010
3905,1.3440012965829457e-06,39593.96000135748,13197.986667119161,2,Copolímeros de acetato de vinilo en dispersión acuosa,"39052100,39051200"
1004,1.3330117310085818e-06,39270.21000134638,13090.070000448792,2,"Avena,excluido p/siembra","10049000,10041000"
8465,1.3306284803553741e-06,39200.00000134398,13066.66666711466,1,"Máquinas herramienta ncop.p/trabajar madera,corcho,hueso,caucho,materias plásticas o similares",84659900
8484,1.310637484668239e-06,38611.07000132378,12870.356667107928,3,Juntas metaloplásticas,"84841000,84849000,84842000"
8473,1.2580209722053705e-06,37061.00000127064,12353.666667090214,2,Partes y accesorios de máquinas de la partida 84.71 n.c.o.p.,"84733090,84733049"
7412,1.2477737751224704e-06,36759.12000126029,12253.040000420098,1,Accesorios de tubería de aleaciones de cobre,74122000
8543,1.2298187767886954e-06,36230.17000124215,12076.723333747384,3, Máquinas y aparatos eléctricos con función propia n.c.o.p.,"85437099,85439010,85432000"
0802,1.221916472956381e-06,35997.37000123417,11999.123333744725,2,Nueces de nogal c/cáscara,"08023100,08029900"
7315,1.1919108007243673e-06,35113.41000120387,11704.47000040129,8,"Cadenas de rodillos de fundición,hierro o acero","73151100,73151900,73151190,73151290,73158900"
0806,1.1654197527999044e-06,34332.99000117711,11444.33000039237,1,Uvas secas incluidas las pasas,08062000
7610,1.1591060564390345e-06,34146.990001170736,11382.330000390244,2,"Puertas,ventanas y sus marcos,bastidores y umbrales,de aluminio","76101000,76109000"
1108,1.1322738652434602e-06,33356.52000114363,11118.840000381211,1,Almidón de maíz,11081200
4302,1.1269608558111841e-06,33200.000001138265,11066.666667046089,1,"Pieles curtidas o adobadas de animales ncop.,enteras incluso s/cabeza,cola o patas,s/ensamblar",43021990
1302,1.1207489932625866e-06,33017.000001132,11005.666667044,1,Jugos y extractos vegetales ncop.,13021999
8311,1.0509008419791156e-06,30959.290001061443,10319.763333687148,2,"Alambres,varillas,electrodos y similares,de metal común,p/soldaduras o depósito de metal,ncop.","83119000,83111000"
9028,1.0265557719252668e-06,30242.090001036857,10080.696667012286,5,Contadores de líquidos de peso <= a 50 kg.,"90282010,90283090,90283011,90283031,90289010"
2308,9.979713602665304e-07,29400.00000100798,9800.000000335993,1,"Materias y desperdicios vegetales ncop.,utilizados p/alimentación de animales",23080000
9701,9.802403963197545e-07,28877.650000990077,9625.883333663358,2,,"97011000,97019100"
4908,9.662297609813183e-07,28464.90000097592,9488.300000325306,2,Calcomanías excluidas vitrificables,"49089000,49081000"
4005,9.431817142497754e-07,27785.910000952645,9261.970000317548,2,"Caucho mezclado s/vulcanizar ncop.,en placas,hojas o tiras","40059190,40051090"
9015,9.190331834536117e-07,27074.500000928252,9024.833333642751,1,"Instrumentos y aparatos de geodesia,topografía,agrimensura,hidrografía,meteorología,geofísica y similares,ncop.",90158090
6403,9.037071947066613e-07,26623.000000912773,8874.33333363759,2,"Calzado c/suela de caucho o plástico,c/parte superior de cuero natural,que cubra el tobillo,ncop.","64039190,64039990"
5101,9.016094181738562e-07,26561.200000910656,8853.733333636885,1,"Lana sucia,esquilada,s/cardar ni peinar,finura >= a 22,05 micrones y <= a 32,6 micrones",51011110
3506,9.013836865566532e-07,26554.55000091043,8851.516666970145,2,Colas y adhesivos preparados ncop.,"35069900,35069120"
2932,8.930146444180915e-07,26308.000000901975,8769.333333633991,1,Lactonas,29322000
2611,8.897559624253844e-07,26212.000000898683,8737.333333632894,1,Minerales de volframio y sus concentrados,26110000
9110,8.638222849000909e-07,25448.00000087249,8482.666666957497,1,"Mecanismos de relojería:completos o incompletos,s/o parcialmente montados,en blanco,ncop.",91109000
6307,8.494256994131439e-07,25023.880000857953,8341.293333619316,2,Artículos textiles confeccionados no expresados ni comprendidos en otra parte,"63079090,63079010"
3919,8.141793197555672e-07,23985.530000822346,7995.176666940782,6,"De polipropileno en placas, láminas, hojas, cintas, tiras y demás formas planas, autoadhesivas, de plástico, incluso en rollos.","39191010,39199020,39191020,39199090,39199010"
6217,8.019728401245521e-07,23625.930000810018,7875.310000270006,1,Accesorios de vestir no expresados ni comprendidos en otra parte excluidos de punto,62171000
6102,7.862211860423046e-07,23161.890000794112,7720.630000264704,2,"Abrigos,chaquetones o similares de punto,de algodón,p/mujeres o niñas","61022000,61023000"
4707,7.861529573880822e-07,23159.88000079404,7719.96000026468,1,"Desperdicios de papel o cartón Kraft crudos,papel o cartón corrugados p/reciclar",47071000
3902,7.844424887879519e-07,23109.490000792313,7703.1633335974375,1,"Polipropileno c/carga,en formas primarias",39021010
7222,7.773436537344642e-07,22900.360000785142,7633.453333595047,1,"Perfiles de acero inoxidable,de altura >= a 80mm.",72224010
2203,7.644073651154991e-07,22519.260000772076,7506.420000257359,1,Cerveza de malta,22030000
1404,7.489028277510316e-07,22062.500000756416,7354.166666918805,1,Productos vegetales ncop.,14049090
2525,7.477402250609252e-07,22028.25000075524,7342.750000251747,1,Mica en bruto o exfoliada en hojas o laminillas irregulares,25251000
3922,7.325849776725512e-07,21581.780000739935,7193.926666913312,2,Artículos sanitarios o higiénicos de plástico,"39229000,39221000"
8487,7.309627650430568e-07,21533.9900007383,7177.996666912767,1,Partes de máquinas o aparatos ncop.s/conexiones eléctricas,84879000
6106,7.074167509695029e-07,20840.33000071451,6946.776666904837,3,"Camisas y blusas de punto,de fibras sintéticas o artificiales p/mujeres o niñas","61062000,61061000,61069000"
6115,7.068322248870611e-07,20823.110000713925,6941.0366669046425,4,"Calzas,Panty-medias y leotardos de punto,de fibras sintéticas con título < a 67 decitex","61151011,61159500,61159600,61151014"
8534,7.044187635362125e-07,20752.010000711485,6917.336666903829,3,"Circuitos impresos,multicapas,c/aislante de resina epoxi y tejido de fibra de vidrio","85340051,85340019,85340033"
7019,6.999238190625221e-07,20619.590000706943,6873.196666902315,5,Manufacturas de fibra de vidrio n.c.o.p.,"70199000,70199090,70198000,70195900,70193100"
8405,6.953586092583641e-07,20485.100000702336,6828.366666900779,1,"Generadores de gas pobre o gas de agua,generadores de acetileno y similares de gases,por vía húmeda",84051000
8215,6.838025082417268e-07,20144.660000690663,6714.8866668968885,3,"Cubiertos,palas p/tortas,pinzas p/azúcar y artículos similares,de acero inoxidable","82159910,82159990,82152000"
6211,6.815003851922956e-07,20076.840000688335,6692.280000229445,3,"Prendas de vestir ncop.,p/mujeres o niñas,de algodón,excluidas de punto","62114200,62114300,62113200"
8472,6.728227866025495e-07,19821.20000067957,6607.066666893191,1,"Máquinas y aparatos de oficina,ncop.",84729099
4401,6.683295393590637e-07,19688.830000675036,6562.943333558345,2,"Aserrín,desperdicios y desechos de madera en pellets","44013100,44012200"
7609,6.675416850981187e-07,19665.62000067424,6555.206666891413,1,"Accesorios de tubería,de aluminio",76090000
6601,6.523823643572537e-07,19219.030000658924,6406.343333552975,2,"Paraguas y sombrillas c/cubierta de seda o materias textiles sintéticas o artificiales,c/astil o mango telescópico","66019110,66019900"
4012,6.307280830696746e-07,18581.100000637056,6193.700000212352,1,"Bandajes y bandas de rodaduras intercambiables p/neumáticos,de caucho",40129090
1211,6.288448364347226e-07,18525.620000635154,6175.206666878385,2,"Plantas,partes,semillas y frutos ncop.utilizadas p/perfumería,medicina o similares","12119090,12119010"
2002,6.26230423027657e-07,18448.600000632512,6149.533333544171,3,"Tomates preparados o conservados sin vinagre ni  ácido acético, excepto enteros o en trozos.","20029000,20029090,20021000"
8309,6.098569037984678e-07,17966.240000615977,5988.746666871993,1,"Tapones y tapas de metal común,excluidas tapas coronas",83099000
8427,6.068786042355499e-07,17878.500000612967,5959.5000002043225,1,"Carretillas de manipulación c/dispositivo de elevación incorporado,ncop.",84279000
7608,5.994562771050778e-07,17659.84000060547,5886.613333535157,2,Tubos de aleaciones de aluminio ncop.,"76082090,76081000"
6110,5.932722491318345e-07,17477.660000599226,5825.886666866409,3,"Suéteres,pullovers,chalecos y similares de punto,de algodón","61102000,61103000,61109000"
8301,5.909117413633673e-07,17408.120000596842,5802.706666865614,7,"Cerraduras utilizadas en los vehículos automóviles,de metal común","83012000,83017000,83015000,83016000,83013000"
9023,5.799255702494126e-07,17084.47000058574,5694.82333352858,1,"Instrumentos,aparatos y modelos concebidos p/demostraciones,no susceptibles de otros usos",90230000
